"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Billions)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY 500","24,123.10","24,144.20","23,999.15","24,099.00","24,058.45","-","-40.55","-0.17","3,13,94,30,638","781.22","24,144.20","19,519.85","0.94","5.95"
"NETWEB","3,044.00","3,433.00","3,030.00","3,024.10","3,270.00","-","245.90","8.13","71,63,906","23.66","4,479.00","1,251.55","6.26","15.33"
"OLAELEC","41.25","44.29","39.73","40.89","44.01","-","3.12","7.63","32,08,53,935","13.75","88.59","30.76","23.75","-46.89"
"SOBHA","1,548.20","1,595.00","1,520.10","1,490.60","1,592.00","-","101.40","6.80","16,07,183","2.50","1,732.50","1,075.30","2.54","2.02"
"METROPOLIS","1,960.00","2,060.00","1,950.70","1,933.30","2,057.90","-","124.60","6.44","2,37,503","0.48","2,263.00","1,315.00","6.56","2.64"
"SJVN","84.00","88.80","83.80","83.04","87.99","-","4.95","5.96","10,17,51,319","8.91","112.50","69.85","18.33","-19.65"
"MSUMI","50.49","52.40","49.21","49.85","52.30","-","2.45","4.91","2,65,08,146","1.36","52.40","30.72","14.14","-12.48"
"PGEL","605.00","644.40","600.90","602.70","629.95","-","27.25","4.52","84,09,335","5.30","1,054.20","465.00","13.85","-37.97"
"DATAPATTNS","2,624.00","2,745.00","2,607.90","2,621.70","2,739.00","-","117.30","4.47","5,57,525","1.51","3,268.80","1,351.15","-1.27","9.90"
"CYIENT","1,106.70","1,174.40","1,106.70","1,105.90","1,152.00","-","46.10","4.17","12,86,852","1.49","1,845.00","1,076.30","-1.28","-35.04"
"RHIM","458.50","475.95","457.20","455.30","473.85","-","18.55","4.07","3,01,944","0.14","547.90","376.45","6.18","-4.54"
"UNIONBANK","158.00","162.99","157.51","156.70","162.63","-","5.93","3.78","3,04,48,320","4.91","162.99","100.81","5.91","30.87"
"SAILIFE","921.85","966.90","921.80","921.70","956.00","-","34.30","3.72","13,60,078","1.30","966.90","636.10","9.06","22.48"
"SAREGAMA","357.45","374.20","354.55","357.95","371.15","-","13.20","3.69","10,30,902","0.38","603.80","340.30","0.03","-32.79"
"HBLENGINE","935.00","984.90","928.75","937.55","971.70","-","34.15","3.64","34,00,290","3.28","1,122.00","405.00","20.03","55.23"
"EMCURE","1,441.90","1,514.80","1,441.90","1,430.90","1,481.30","-","50.40","3.52","5,40,910","0.80","1,519.90","889.00","6.68","1.67"
"CREDITACC","1,295.00","1,345.00","1,295.00","1,287.70","1,333.00","-","45.30","3.52","5,96,293","0.79","1,490.10","750.20","3.15","42.45"
"FIRSTCRY","290.25","299.95","290.25","289.80","299.70","-","9.90","3.42","2,22,63,831","6.66","658.00","277.10","3.56","-53.89"
"JKCEMENT","5,599.00","5,810.00","5,571.50","5,560.50","5,750.00","-","189.50","3.41","1,54,711","0.89","7,565.50","4,218.90","2.42","21.89"
"KIMS","630.95","660.10","630.35","632.25","653.40","-","21.15","3.35","6,47,314","0.42","798.40","474.05","-7.16","4.13"
"PRESTIGE","1,620.00","1,675.00","1,610.20","1,618.80","1,672.00","-","53.20","3.29","9,06,033","1.48","1,814.00","1,048.05","-1.34","0.66"
"AMBER","6,522.00","6,824.00","6,500.00","6,482.50","6,695.00","-","212.50","3.28","3,39,436","2.27","8,626.00","5,235.00","2.28","-13.34"
"VOLTAS","1,429.50","1,494.60","1,423.20","1,430.20","1,476.00","-","45.80","3.20","15,88,073","2.34","1,859.40","1,135.00","11.29","-19.07"
"SOLARINDS","12,335.00","12,921.00","12,250.00","12,336.00","12,730.00","-","394.00","3.19","2,31,189","2.94","17,820.00","8,482.50","-0.69","30.65"
"JUBLINGREA","734.00","777.00","729.85","726.25","749.00","-","22.75","3.13","21,36,567","1.62","885.00","535.20","9.23","-12.62"
"LODHA","1,090.70","1,130.00","1,086.20","1,085.70","1,119.50","-","33.80","3.11","28,76,700","3.22","1,531.00","1,035.15","0.76","-19.97"
"ESCORTS","3,877.00","3,975.50","3,847.00","3,847.10","3,962.70","-","115.60","3.00","1,60,073","0.63","4,180.00","2,776.40","6.77","17.50"
"WOCKPHARMA","1,408.00","1,484.00","1,401.00","1,406.20","1,448.10","-","41.90","2.98","18,76,769","2.74","1,868.80","1,110.05","6.79","-4.40"
"CROMPTON","252.70","260.90","250.50","252.10","259.55","-","7.45","2.96","57,40,102","1.47","382.45","247.50","-0.13","-29.18"
"GRSE","2,450.00","2,520.00","2,438.20","2,437.00","2,509.00","-","72.00","2.95","16,84,840","4.20","3,538.40","1,184.90","1.26","52.29"
"FINPIPE","177.40","185.10","177.40","178.51","183.55","-","5.04","2.82","15,14,050","0.28","254.50","153.92","8.53","-26.16"
"NESTLEIND","1,279.00","1,320.00","1,278.50","1,279.70","1,315.00","-","35.30","2.76","23,97,082","3.14","1,320.00","1,055.00","5.43","-41.12"
"GODREJPROP","2,070.00","2,128.50","2,057.70","2,068.50","2,125.50","-","57.00","2.76","13,87,944","2.91","2,830.60","1,900.00","2.01","-22.31"
"BDL","1,495.00","1,553.00","1,494.00","1,495.00","1,535.30","-","40.30","2.70","33,29,765","5.12","2,096.60","907.00","1.94","34.81"
"MUTHOOTFIN","3,849.00","3,930.00","3,839.90","3,820.80","3,920.10","-","99.30","2.60","8,28,263","3.23","3,930.00","1,965.00","3.18","75.26"
"ABSLAMC","833.60","857.10","833.60","833.60","855.00","-","21.40","2.57","4,40,901","0.38","908.00","556.45","17.50","3.83"
"BEL","402.85","418.60","402.80","403.15","413.35","-","10.20","2.53","2,60,97,635","10.80","436.00","240.25","1.70","41.74"
"INDIACEM","445.40","462.80","441.40","445.40","456.40","-","11.00","2.47","8,66,777","0.40","462.80","238.85","9.92","20.97"
